[True]
Run timestamp: 24072023_165314_52.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '3000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.0005', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.0', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '30000', '--lambda_chrom_access_recon', '30000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_52']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 3011 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 121068 peaks after filtering  peaks with counts in less than 4 cells.
Keeping 12366 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb, include_chrom_access_recon_loss: True, chrom_access_recon_dist: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ENCODER -> n_input: 15060, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 2102, n_latent: 2102, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 2102, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 5388
MASKED CHROMATIN ACCESSIBILITY DECODER -> n_input: 2102, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 24732
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.9007; val_auprc_score: 0.9096; val_best_acc_score: 0.5001; val_best_f1_score: 0.6667; train_kl_reg_loss: 6295.9826; train_edge_recon_loss: 3494749.9722; train_gene_expr_recon_loss: 31550169.1111; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 107612440.0000; train_global_loss: 142663655.1111; train_optim_loss: 142663655.1111; val_kl_reg_loss: 29261.7070; val_edge_recon_loss: 4065541.0000; val_gene_expr_recon_loss: 30176762.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 107390808.0000; val_global_loss: 141662368.0000; val_optim_loss: 141662368.0000
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8858; val_auprc_score: 0.8943; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 50339.5460; train_edge_recon_loss: 3550802.0000; train_gene_expr_recon_loss: 29116654.4444; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 106407905.7778; train_global_loss: 139125701.3333; train_optim_loss: 139125701.3333; val_kl_reg_loss: 74156.7969; val_edge_recon_loss: 4065928.7500; val_gene_expr_recon_loss: 27571198.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 104840112.0000; val_global_loss: 136551392.0000; val_optim_loss: 136551392.0000
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8770; val_auprc_score: 0.8860; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 94262.1840; train_edge_recon_loss: 3634336.5556; train_gene_expr_recon_loss: 26640433.1111; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 103427296.8889; train_global_loss: 133796328.8889; train_optim_loss: 133796328.8889; val_kl_reg_loss: 139347.0625; val_edge_recon_loss: 4065970.0000; val_gene_expr_recon_loss: 25228968.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 102425552.0000; val_global_loss: 131859840.0000; val_optim_loss: 131859840.0000
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8824; val_auprc_score: 0.8856; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 154942.2483; train_edge_recon_loss: 3677754.8889; train_gene_expr_recon_loss: 24543488.2222; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 100853017.7778; train_global_loss: 129229202.6667; train_optim_loss: 129229202.6667; val_kl_reg_loss: 158315.4375; val_edge_recon_loss: 4065988.0000; val_gene_expr_recon_loss: 23807678.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 100843456.0000; val_global_loss: 128875440.0000; val_optim_loss: 128875440.0000
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8912; val_auprc_score: 0.8950; val_best_acc_score: 0.5001; val_best_f1_score: 0.6667; train_kl_reg_loss: 193464.6076; train_edge_recon_loss: 3684322.5833; train_gene_expr_recon_loss: 23531941.1111; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 99718332.4444; train_global_loss: 127128060.4444; train_optim_loss: 127128060.4444; val_kl_reg_loss: 192089.5625; val_edge_recon_loss: 4065930.7500; val_gene_expr_recon_loss: 22906402.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 99620848.0000; val_global_loss: 126785272.0000; val_optim_loss: 126785272.0000
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8878; val_auprc_score: 0.8891; val_best_acc_score: 0.5004; val_best_f1_score: 0.6668; train_kl_reg_loss: 228987.1111; train_edge_recon_loss: 3684907.9722; train_gene_expr_recon_loss: 22633225.1111; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 99050474.6667; train_global_loss: 125597594.6667; train_optim_loss: 125597594.6667; val_kl_reg_loss: 198571.2188; val_edge_recon_loss: 4065797.0000; val_gene_expr_recon_loss: 22188702.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98812488.0000; val_global_loss: 125265560.0000; val_optim_loss: 125265560.0000
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8867; val_auprc_score: 0.8861; val_best_acc_score: 0.5016; val_best_f1_score: 0.6674; train_kl_reg_loss: 238073.0382; train_edge_recon_loss: 3699123.4722; train_gene_expr_recon_loss: 22135884.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 98370968.0000; train_global_loss: 124444050.6667; train_optim_loss: 124444050.6667; val_kl_reg_loss: 218466.9531; val_edge_recon_loss: 4065595.7500; val_gene_expr_recon_loss: 21759596.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98371624.0000; val_global_loss: 124415280.0000; val_optim_loss: 124415280.0000
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8876; val_auprc_score: 0.8856; val_best_acc_score: 0.5031; val_best_f1_score: 0.6680; train_kl_reg_loss: 253628.7205; train_edge_recon_loss: 3689560.8611; train_gene_expr_recon_loss: 21614123.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 97787968.8889; train_global_loss: 123345281.7778; train_optim_loss: 123345281.7778; val_kl_reg_loss: 220584.4062; val_edge_recon_loss: 4065338.7500; val_gene_expr_recon_loss: 21445970.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98118712.0000; val_global_loss: 123850608.0000; val_optim_loss: 123850608.0000
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8801; val_auprc_score: 0.8754; val_best_acc_score: 0.5104; val_best_f1_score: 0.6713; train_kl_reg_loss: 254685.2344; train_edge_recon_loss: 3682653.4167; train_gene_expr_recon_loss: 21396738.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 97283724.4444; train_global_loss: 122617800.8889; train_optim_loss: 122617800.8889; val_kl_reg_loss: 234541.5625; val_edge_recon_loss: 4064903.7500; val_gene_expr_recon_loss: 21285292.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 97880584.0000; val_global_loss: 123465320.0000; val_optim_loss: 123465320.0000
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8779; val_auprc_score: 0.8765; val_best_acc_score: 0.5156; val_best_f1_score: 0.6737; train_kl_reg_loss: 264090.1788; train_edge_recon_loss: 3667405.6667; train_gene_expr_recon_loss: 21200064.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 96992807.1111; train_global_loss: 122124367.1111; train_optim_loss: 122124367.1111; val_kl_reg_loss: 223311.8750; val_edge_recon_loss: 4064226.2500; val_gene_expr_recon_loss: 21165514.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 97791368.0000; val_global_loss: 123244416.0000; val_optim_loss: 123244416.0000
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8834; val_auprc_score: 0.8753; val_best_acc_score: 0.5379; val_best_f1_score: 0.6838; train_kl_reg_loss: 255412.4392; train_edge_recon_loss: 3660945.3333; train_gene_expr_recon_loss: 21051909.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 96875793.7778; train_global_loss: 121844060.4444; train_optim_loss: 121844060.4444; val_kl_reg_loss: 262871.3125; val_edge_recon_loss: 4063023.2500; val_gene_expr_recon_loss: 21074546.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 97567440.0000; val_global_loss: 122967880.0000; val_optim_loss: 122967880.0000
