[True]
Run timestamp: 26072023_041408_159.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '3000', '--nichenet_keep_target_genes_ratio', '0.1', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.0005', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.05', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '50000000', '--lambda_gene_expr_recon', '30000', '--lambda_chrom_access_recon', '30000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_159']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 3011 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 121068 peaks after filtering  peaks with counts in less than 4 cells.
Keeping 12366 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb, include_chrom_access_recon_loss: True, chrom_access_recon_dist: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.05
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ENCODER -> n_input: 15060, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 2098, n_latent: 2098, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 5388
MASKED CHROMATIN ACCESSIBILITY DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 24732
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.9196; val_auprc_score: 0.9283; val_best_acc_score: 0.5001; val_best_f1_score: 0.6667; train_kl_reg_loss: 19337.6548; train_edge_recon_loss: 34786209.7778; train_gene_expr_recon_loss: 31251572.2222; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 109683011.5556; train_global_loss: 175740131.5556; train_optim_loss: 175740131.5556; val_kl_reg_loss: 26447.5039; val_edge_recon_loss: 40652308.0000; val_gene_expr_recon_loss: 29846490.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 108006136.0000; val_global_loss: 178531392.0000; val_optim_loss: 178531392.0000
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.9065; val_auprc_score: 0.9144; val_best_acc_score: 0.5071; val_best_f1_score: 0.6699; train_kl_reg_loss: 39694.9881; train_edge_recon_loss: 34917016.4444; train_gene_expr_recon_loss: 29313201.1111; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 106673397.3333; train_global_loss: 170943310.2222; train_optim_loss: 170943310.2222; val_kl_reg_loss: 86973.0625; val_edge_recon_loss: 40646656.0000; val_gene_expr_recon_loss: 27911504.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 106258600.0000; val_global_loss: 174903744.0000; val_optim_loss: 174903744.0000
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8980; val_auprc_score: 0.9077; val_best_acc_score: 0.5031; val_best_f1_score: 0.6680; train_kl_reg_loss: 168374.7101; train_edge_recon_loss: 34827325.7778; train_gene_expr_recon_loss: 27218104.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 104165045.3333; train_global_loss: 166378853.3333; train_optim_loss: 166378853.3333; val_kl_reg_loss: 237589.7188; val_edge_recon_loss: 40652664.0000; val_gene_expr_recon_loss: 26016786.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 104065288.0000; val_global_loss: 170972320.0000; val_optim_loss: 170972320.0000
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.9006; val_auprc_score: 0.9037; val_best_acc_score: 0.5018; val_best_f1_score: 0.6674; train_kl_reg_loss: 288708.1823; train_edge_recon_loss: 34915804.4444; train_gene_expr_recon_loss: 25289301.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 102771449.7778; train_global_loss: 163265265.7778; train_optim_loss: 163265265.7778; val_kl_reg_loss: 249153.9375; val_edge_recon_loss: 40655284.0000; val_gene_expr_recon_loss: 24357552.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 101865384.0000; val_global_loss: 167127376.0000; val_optim_loss: 167127376.0000
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.9134; val_auprc_score: 0.9124; val_best_acc_score: 0.5030; val_best_f1_score: 0.6680; train_kl_reg_loss: 394703.9115; train_edge_recon_loss: 34926722.2222; train_gene_expr_recon_loss: 24254040.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 101837260.4444; train_global_loss: 161412725.3333; train_optim_loss: 161412725.3333; val_kl_reg_loss: 259058.5625; val_edge_recon_loss: 40652124.0000; val_gene_expr_recon_loss: 23559700.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 100956032.0000; val_global_loss: 165426912.0000; val_optim_loss: 165426912.0000
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8973; val_auprc_score: 0.8959; val_best_acc_score: 0.5053; val_best_f1_score: 0.6690; train_kl_reg_loss: 387253.6753; train_edge_recon_loss: 34959143.1111; train_gene_expr_recon_loss: 23217939.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 100330001.7778; train_global_loss: 158894336.0000; train_optim_loss: 158894336.0000; val_kl_reg_loss: 251418.9062; val_edge_recon_loss: 40650420.0000; val_gene_expr_recon_loss: 22922950.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 99985720.0000; val_global_loss: 163810512.0000; val_optim_loss: 163810512.0000
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8956; val_auprc_score: 0.8908; val_best_acc_score: 0.5094; val_best_f1_score: 0.6709; train_kl_reg_loss: 420814.5625; train_edge_recon_loss: 34952547.1111; train_gene_expr_recon_loss: 22532394.4444; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 98866747.5556; train_global_loss: 156772504.8889; train_optim_loss: 156772504.8889; val_kl_reg_loss: 361128.7500; val_edge_recon_loss: 40648060.0000; val_gene_expr_recon_loss: 22393564.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 99495264.0000; val_global_loss: 162898016.0000; val_optim_loss: 162898016.0000
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8986; val_auprc_score: 0.8977; val_best_acc_score: 0.5128; val_best_f1_score: 0.6724; train_kl_reg_loss: 464700.2708; train_edge_recon_loss: 34901521.3333; train_gene_expr_recon_loss: 22215491.7778; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 99069940.4444; train_global_loss: 156651655.1111; train_optim_loss: 156651655.1111; val_kl_reg_loss: 281302.9688; val_edge_recon_loss: 40644200.0000; val_gene_expr_recon_loss: 22017226.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98921144.0000; val_global_loss: 161863872.0000; val_optim_loss: 161863872.0000
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8942; val_auprc_score: 0.8935; val_best_acc_score: 0.5197; val_best_f1_score: 0.6755; train_kl_reg_loss: 437319.8819; train_edge_recon_loss: 34955751.5556; train_gene_expr_recon_loss: 21651260.6667; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 98032277.3333; train_global_loss: 155076611.5556; train_optim_loss: 155076611.5556; val_kl_reg_loss: 386946.9375; val_edge_recon_loss: 40640568.0000; val_gene_expr_recon_loss: 21687462.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98531800.0000; val_global_loss: 161246784.0000; val_optim_loss: 161246784.0000
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8907; val_auprc_score: 0.8882; val_best_acc_score: 0.5342; val_best_f1_score: 0.6821; train_kl_reg_loss: 470635.9618; train_edge_recon_loss: 34907277.7778; train_gene_expr_recon_loss: 21559126.6667; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 97775835.5556; train_global_loss: 154712876.4444; train_optim_loss: 154712876.4444; val_kl_reg_loss: 316071.5312; val_edge_recon_loss: 40632100.0000; val_gene_expr_recon_loss: 21515142.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98229568.0000; val_global_loss: 160692880.0000; val_optim_loss: 160692880.0000
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8942; val_auprc_score: 0.8941; val_best_acc_score: 0.5455; val_best_f1_score: 0.6873; train_kl_reg_loss: 434920.6250; train_edge_recon_loss: 34961393.7778; train_gene_expr_recon_loss: 21338711.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 97250156.4444; train_global_loss: 153985182.2222; train_optim_loss: 153985182.2222; val_kl_reg_loss: 435112.1250; val_edge_recon_loss: 40624512.0000; val_gene_expr_recon_loss: 21389788.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98091264.0000; val_global_loss: 160540672.0000; val_optim_loss: 160540672.0000
