[True]
Run timestamp: 26072023_013450_32.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '3000', '--nichenet_keep_target_genes_ratio', '0.1', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.0005', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.0', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000', '--lambda_gene_expr_recon', '3000', '--lambda_chrom_access_recon', '30000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '5', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_32']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 3011 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 121068 peaks after filtering  peaks with counts in less than 4 cells.
Keeping 12366 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb, include_chrom_access_recon_loss: True, chrom_access_recon_dist: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ENCODER -> n_input: 15060, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 2098, n_latent: 2098, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 5388
MASKED CHROMATIN ACCESSIBILITY DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 24732
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8966; val_auprc_score: 0.9067; val_best_acc_score: 0.5001; val_best_f1_score: 0.6667; train_kl_reg_loss: 4825.7520; train_edge_recon_loss: 351855.8125; train_gene_expr_recon_loss: 3121723.3611; train_masked_gp_l1_reg_loss: 1884.1297; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 108637990.2222; train_global_loss: 112118279.1111; train_optim_loss: 112118279.1111; val_kl_reg_loss: 7632.9453; val_edge_recon_loss: 406561.2500; val_gene_expr_recon_loss: 3025984.2500; val_masked_gp_l1_reg_loss: 1930.1531; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 106950608.0000; val_global_loss: 110392720.0000; val_optim_loss: 110392720.0000
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8801; val_auprc_score: 0.8846; val_best_acc_score: 0.5001; val_best_f1_score: 0.6667; train_kl_reg_loss: 19895.8086; train_edge_recon_loss: 364257.1458; train_gene_expr_recon_loss: 2935205.1944; train_masked_gp_l1_reg_loss: 2036.3475; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 106824523.5556; train_global_loss: 110145917.3333; train_optim_loss: 110145917.3333; val_kl_reg_loss: 35563.8984; val_edge_recon_loss: 406583.2500; val_gene_expr_recon_loss: 2766382.5000; val_masked_gp_l1_reg_loss: 2192.7612; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 104749520.0000; val_global_loss: 107960240.0000; val_optim_loss: 107960240.0000
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8774; val_auprc_score: 0.8776; val_best_acc_score: 0.5001; val_best_f1_score: 0.6667; train_kl_reg_loss: 39148.4531; train_edge_recon_loss: 384444.6493; train_gene_expr_recon_loss: 2680032.3333; train_masked_gp_l1_reg_loss: 2324.5064; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 103612446.2222; train_global_loss: 106718397.3333; train_optim_loss: 106718397.3333; val_kl_reg_loss: 41446.6484; val_edge_recon_loss: 406585.7188; val_gene_expr_recon_loss: 2592335.7500; val_masked_gp_l1_reg_loss: 2474.4265; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 102630896.0000; val_global_loss: 105673736.0000; val_optim_loss: 105673736.0000
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8712; val_auprc_score: 0.8742; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 57040.7348; train_edge_recon_loss: 391059.5660; train_gene_expr_recon_loss: 2516863.5000; train_masked_gp_l1_reg_loss: 2559.8757; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 101819414.2222; train_global_loss: 104786937.7778; train_optim_loss: 104786937.7778; val_kl_reg_loss: 65301.6406; val_edge_recon_loss: 406596.1562; val_gene_expr_recon_loss: 2440365.0000; val_masked_gp_l1_reg_loss: 2641.7207; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 100839600.0000; val_global_loss: 103754504.0000; val_optim_loss: 103754504.0000
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8735; val_auprc_score: 0.8768; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 76201.8411; train_edge_recon_loss: 399700.0590; train_gene_expr_recon_loss: 2395264.6111; train_masked_gp_l1_reg_loss: 2671.6706; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 100372972.4444; train_global_loss: 103246809.7778; train_optim_loss: 103246809.7778; val_kl_reg_loss: 84298.0625; val_edge_recon_loss: 406589.9375; val_gene_expr_recon_loss: 2352423.0000; val_masked_gp_l1_reg_loss: 2691.1318; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 99527352.0000; val_global_loss: 102373352.0000; val_optim_loss: 102373352.0000
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8822; val_auprc_score: 0.8755; val_best_acc_score: 0.5004; val_best_f1_score: 0.6668; train_kl_reg_loss: 95121.1163; train_edge_recon_loss: 402594.9271; train_gene_expr_recon_loss: 2312957.8611; train_masked_gp_l1_reg_loss: 2684.2200; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 98867852.4444; train_global_loss: 101681210.6667; train_optim_loss: 101681210.6667; val_kl_reg_loss: 98706.9219; val_edge_recon_loss: 406571.0625; val_gene_expr_recon_loss: 2282443.2500; val_masked_gp_l1_reg_loss: 2664.1211; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98699432.0000; val_global_loss: 101489816.0000; val_optim_loss: 101489816.0000
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8788; val_auprc_score: 0.8643; val_best_acc_score: 0.5009; val_best_f1_score: 0.6671; train_kl_reg_loss: 108518.9965; train_edge_recon_loss: 403819.3611; train_gene_expr_recon_loss: 2261009.5278; train_masked_gp_l1_reg_loss: 2639.3053; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 98802820.4444; train_global_loss: 101578808.0000; train_optim_loss: 101578808.0000; val_kl_reg_loss: 107823.9531; val_edge_recon_loss: 406522.7500; val_gene_expr_recon_loss: 2229043.2500; val_masked_gp_l1_reg_loss: 2603.6619; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 98297392.0000; val_global_loss: 101043384.0000; val_optim_loss: 101043384.0000
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8715; val_auprc_score: 0.8639; val_best_acc_score: 0.5050; val_best_f1_score: 0.6689; train_kl_reg_loss: 114852.3212; train_edge_recon_loss: 404235.9306; train_gene_expr_recon_loss: 2212323.6111; train_masked_gp_l1_reg_loss: 2574.1013; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 98381344.0000; train_global_loss: 101115331.5556; train_optim_loss: 101115331.5556; val_kl_reg_loss: 117399.4531; val_edge_recon_loss: 406476.9375; val_gene_expr_recon_loss: 2185734.5000; val_masked_gp_l1_reg_loss: 2536.4719; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 97804424.0000; val_global_loss: 100516568.0000; val_optim_loss: 100516568.0000
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8638; val_auprc_score: 0.8559; val_best_acc_score: 0.5198; val_best_f1_score: 0.6754; train_kl_reg_loss: 122061.3741; train_edge_recon_loss: 404621.8611; train_gene_expr_recon_loss: 2164830.8750; train_masked_gp_l1_reg_loss: 2507.0827; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 97700946.6667; train_global_loss: 100394968.8889; train_optim_loss: 100394968.8889; val_kl_reg_loss: 119496.7891; val_edge_recon_loss: 406393.3438; val_gene_expr_recon_loss: 2158486.5000; val_masked_gp_l1_reg_loss: 2470.7712; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 97553304.0000; val_global_loss: 100240152.0000; val_optim_loss: 100240152.0000
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8604; val_auprc_score: 0.8573; val_best_acc_score: 0.5449; val_best_f1_score: 0.6866; train_kl_reg_loss: 126135.5512; train_edge_recon_loss: 404531.4826; train_gene_expr_recon_loss: 2143003.4028; train_masked_gp_l1_reg_loss: 2443.8501; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 97645035.5556; train_global_loss: 100321150.2222; train_optim_loss: 100321150.2222; val_kl_reg_loss: 120213.1719; val_edge_recon_loss: 406290.7188; val_gene_expr_recon_loss: 2144439.5000; val_masked_gp_l1_reg_loss: 2410.8394; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 97467920.0000; val_global_loss: 100141272.0000; val_optim_loss: 100141272.0000
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8652; val_auprc_score: 0.8644; val_best_acc_score: 0.5675; val_best_f1_score: 0.6970; train_kl_reg_loss: 128335.9835; train_edge_recon_loss: 404337.0451; train_gene_expr_recon_loss: 2139527.3333; train_masked_gp_l1_reg_loss: 2387.0355; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 97287328.8889; train_global_loss: 99961916.4444; train_optim_loss: 99961916.4444; val_kl_reg_loss: 118794.4688; val_edge_recon_loss: 406169.9062; val_gene_expr_recon_loss: 2134935.2500; val_masked_gp_l1_reg_loss: 2357.1846; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 97395336.0000; val_global_loss: 100057592.0000; val_optim_loss: 100057592.0000
