[True]
Run timestamp: 07082023_200222_85.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '4000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.01', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '0', '--active_gp_thresh_ratio', '0.01', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000', '--lambda_gene_expr_recon', '300', '--lambda_chrom_access_recon', '100', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '10', '--lambda_l1_addon', '10.', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '8', '--timestamp_suffix', '_85']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 5114 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 112141 peaks after filtering  peaks with counts in less than 92 cells.
Keeping 19267 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.01
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM NODE LABEL AGGREGATOR
ENCODER -> n_input: 23942, n_cat_covariates_embed_input: 0, n_hidden: 2573, n_latent: 2573, n_addon_latent: 0, n_fc_layers: 1, n_layers: 1, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 4675
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 4675
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 19267
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 19267

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8904; val_auprc_score: 0.8960; val_best_acc_score: 0.5546; val_best_f1_score: 0.6915; train_kl_reg_loss: 7288.8659; train_edge_recon_loss: 348458.5799; train_gene_expr_recon_loss: 647907.4792; train_masked_gp_l1_reg_loss: 8350.3506; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 266601.4167; train_global_loss: 1278606.7083; train_optim_loss: 1278606.7083; val_kl_reg_loss: 6403.9907; val_edge_recon_loss: 406209.6250; val_gene_expr_recon_loss: 597157.2500; val_masked_gp_l1_reg_loss: 6352.2500; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 260376.0938; val_global_loss: 1276499.2500; val_optim_loss: 1276499.2500
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8794; val_auprc_score: 0.8818; val_best_acc_score: 0.5490; val_best_f1_score: 0.6885; train_kl_reg_loss: 10702.6229; train_edge_recon_loss: 354242.7569; train_gene_expr_recon_loss: 576440.4653; train_masked_gp_l1_reg_loss: 5714.3287; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 262681.7535; train_global_loss: 1209781.9444; train_optim_loss: 1209781.9444; val_kl_reg_loss: 12319.7500; val_edge_recon_loss: 406187.9375; val_gene_expr_recon_loss: 540236.1250; val_masked_gp_l1_reg_loss: 5290.9565; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 255947.6094; val_global_loss: 1219982.3750; val_optim_loss: 1219982.3750
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8783; val_auprc_score: 0.8798; val_best_acc_score: 0.5725; val_best_f1_score: 0.6981; train_kl_reg_loss: 15635.7655; train_edge_recon_loss: 357446.7083; train_gene_expr_recon_loss: 532086.1042; train_masked_gp_l1_reg_loss: 5467.0779; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 257542.5990; train_global_loss: 1168178.2361; train_optim_loss: 1168178.2361; val_kl_reg_loss: 17444.5469; val_edge_recon_loss: 405941.0938; val_gene_expr_recon_loss: 504670.8125; val_masked_gp_l1_reg_loss: 5681.7275; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 251868.5000; val_global_loss: 1185606.7500; val_optim_loss: 1185606.7500
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8833; val_auprc_score: 0.8833; val_best_acc_score: 0.6380; val_best_f1_score: 0.7290; train_kl_reg_loss: 17834.1656; train_edge_recon_loss: 358462.1701; train_gene_expr_recon_loss: 498155.9201; train_masked_gp_l1_reg_loss: 5727.6992; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 253437.7795; train_global_loss: 1133617.7639; train_optim_loss: 1133617.7639; val_kl_reg_loss: 17882.2383; val_edge_recon_loss: 405327.7500; val_gene_expr_recon_loss: 483666.8125; val_masked_gp_l1_reg_loss: 5765.5693; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 249055.3750; val_global_loss: 1161697.7500; val_optim_loss: 1161697.7500
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8939; val_auprc_score: 0.8866; val_best_acc_score: 0.7683; val_best_f1_score: 0.8022; train_kl_reg_loss: 18863.4701; train_edge_recon_loss: 357982.5382; train_gene_expr_recon_loss: 483667.3090; train_masked_gp_l1_reg_loss: 5798.3248; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 252169.2847; train_global_loss: 1118480.9028; train_optim_loss: 1118480.9028; val_kl_reg_loss: 17975.2051; val_edge_recon_loss: 403528.8438; val_gene_expr_recon_loss: 468523.0000; val_masked_gp_l1_reg_loss: 5819.9390; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 246863.7031; val_global_loss: 1142710.7500; val_optim_loss: 1142710.7500
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.9040; val_auprc_score: 0.8975; val_best_acc_score: 0.8314; val_best_f1_score: 0.8303; train_kl_reg_loss: 19416.7042; train_edge_recon_loss: 357073.8750; train_gene_expr_recon_loss: 465953.0590; train_masked_gp_l1_reg_loss: 5843.5570; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 249064.8299; train_global_loss: 1097352.0278; train_optim_loss: 1097352.0278; val_kl_reg_loss: 17799.4414; val_edge_recon_loss: 398533.9062; val_gene_expr_recon_loss: 458688.4688; val_masked_gp_l1_reg_loss: 5851.8560; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 245102.9844; val_global_loss: 1125976.6250; val_optim_loss: 1125976.6250
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.9103; val_auprc_score: 0.8934; val_best_acc_score: 0.8285; val_best_f1_score: 0.8424; train_kl_reg_loss: 19274.9403; train_edge_recon_loss: 354783.6910; train_gene_expr_recon_loss: 459752.6771; train_masked_gp_l1_reg_loss: 5872.5916; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 248169.2257; train_global_loss: 1087853.1250; train_optim_loss: 1087853.1250; val_kl_reg_loss: 18501.1211; val_edge_recon_loss: 385788.2188; val_gene_expr_recon_loss: 452113.8750; val_masked_gp_l1_reg_loss: 5897.0234; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 243769.6719; val_global_loss: 1106069.8750; val_optim_loss: 1106069.8750
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.9312; val_auprc_score: 0.9150; val_best_acc_score: 0.8592; val_best_f1_score: 0.8670; train_kl_reg_loss: 18854.2524; train_edge_recon_loss: 345603.9757; train_gene_expr_recon_loss: 454383.6979; train_masked_gp_l1_reg_loss: 5941.0424; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 245542.6806; train_global_loss: 1070325.6597; train_optim_loss: 1070325.6597; val_kl_reg_loss: 18922.4668; val_edge_recon_loss: 343382.3438; val_gene_expr_recon_loss: 451116.8438; val_masked_gp_l1_reg_loss: 5983.1792; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 243163.4062; val_global_loss: 1062568.2500; val_optim_loss: 1062568.2500
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.9231; val_auprc_score: 0.9076; val_best_acc_score: 0.8463; val_best_f1_score: 0.8566; train_kl_reg_loss: 24868.5393; train_edge_recon_loss: 320310.7292; train_gene_expr_recon_loss: 456730.2431; train_masked_gp_l1_reg_loss: 6039.0821; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 246738.0017; train_global_loss: 1054686.6250; train_optim_loss: 1054686.6250; val_kl_reg_loss: 30489.4102; val_edge_recon_loss: 308310.1250; val_gene_expr_recon_loss: 448668.8125; val_masked_gp_l1_reg_loss: 6105.4883; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 242580.8125; val_global_loss: 1036154.6875; val_optim_loss: 1036154.6875
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.9320; val_auprc_score: 0.9122; val_best_acc_score: 0.8649; val_best_f1_score: 0.8716; train_kl_reg_loss: 29964.5549; train_edge_recon_loss: 306225.4688; train_gene_expr_recon_loss: 453043.6042; train_masked_gp_l1_reg_loss: 6167.5602; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 246091.0017; train_global_loss: 1041492.1875; train_optim_loss: 1041492.1875; val_kl_reg_loss: 26414.8242; val_edge_recon_loss: 304813.1875; val_gene_expr_recon_loss: 444894.8125; val_masked_gp_l1_reg_loss: 6232.1953; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 241624.9062; val_global_loss: 1023979.8750; val_optim_loss: 1023979.8750
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.9415; val_auprc_score: 0.9248; val_best_acc_score: 0.8763; val_best_f1_score: 0.8845; train_kl_reg_loss: 28081.1849; train_edge_recon_loss: 300087.6840; train_gene_expr_recon_loss: 448534.7604; train_masked_gp_l1_reg_loss: 6288.3944; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 244485.3212; train_global_loss: 1027477.3194; train_optim_loss: 1027477.3194; val_kl_reg_loss: 27546.6406; val_edge_recon_loss: 297546.9375; val_gene_expr_recon_loss: 441952.3750; val_masked_gp_l1_reg_loss: 6345.1328; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 240610.9062; val_global_loss: 1014002.0000; val_optim_loss: 1014002.0000
