[True]
Run timestamp: 26072023_010355_10.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '3000', '--nichenet_keep_target_genes_ratio', '0.1', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.0005', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.05', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000', '--lambda_gene_expr_recon', '300', '--lambda_chrom_access_recon', '3000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '5', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_10']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 3011 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 121068 peaks after filtering  peaks with counts in less than 4 cells.
Keeping 12366 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb, include_chrom_access_recon_loss: True, chrom_access_recon_dist: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.05
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ENCODER -> n_input: 15060, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 2098, n_latent: 2098, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 5388
MASKED CHROMATIN ACCESSIBILITY DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 24732
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8891; val_auprc_score: 0.9053; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 15738.0824; train_edge_recon_loss: 353163.9444; train_gene_expr_recon_loss: 314244.2292; train_masked_gp_l1_reg_loss: 1672.6685; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 10933632.1111; train_global_loss: 11618451.1111; train_optim_loss: 11618451.1111; val_kl_reg_loss: 29439.3359; val_edge_recon_loss: 406612.3125; val_gene_expr_recon_loss: 294481.9375; val_masked_gp_l1_reg_loss: 1568.4827; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 10667504.0000; val_global_loss: 11399606.0000; val_optim_loss: 11399606.0000
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.9013; val_auprc_score: 0.9152; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 33661.3218; train_edge_recon_loss: 371635.6528; train_gene_expr_recon_loss: 292387.3611; train_masked_gp_l1_reg_loss: 1586.5252; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 10890960.6667; train_global_loss: 11590231.5556; train_optim_loss: 11590231.5556; val_kl_reg_loss: 27059.8359; val_edge_recon_loss: 406613.5312; val_gene_expr_recon_loss: 275040.3750; val_masked_gp_l1_reg_loss: 1634.4021; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 10467221.0000; val_global_loss: 11177569.0000; val_optim_loss: 11177569.0000
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8889; val_auprc_score: 0.9003; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 32737.3811; train_edge_recon_loss: 378765.0451; train_gene_expr_recon_loss: 269538.6997; train_masked_gp_l1_reg_loss: 1695.8532; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 10400961.7778; train_global_loss: 11083698.5556; train_optim_loss: 11083698.5556; val_kl_reg_loss: 35627.9375; val_edge_recon_loss: 406608.0625; val_gene_expr_recon_loss: 257560.0469; val_masked_gp_l1_reg_loss: 1769.8252; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 10282312.0000; val_global_loss: 10983878.0000; val_optim_loss: 10983878.0000
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8593; val_auprc_score: 0.8668; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 42408.0577; train_edge_recon_loss: 382038.0069; train_gene_expr_recon_loss: 253823.7656; train_masked_gp_l1_reg_loss: 1803.5736; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 10245112.5556; train_global_loss: 10925186.0000; train_optim_loss: 10925186.0000; val_kl_reg_loss: 41863.9180; val_edge_recon_loss: 406581.2188; val_gene_expr_recon_loss: 244693.3281; val_masked_gp_l1_reg_loss: 1829.4016; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 10141902.0000; val_global_loss: 10836870.0000; val_optim_loss: 10836870.0000
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8318; val_auprc_score: 0.8418; val_best_acc_score: 0.5057; val_best_f1_score: 0.6692; train_kl_reg_loss: 46633.5404; train_edge_recon_loss: 383542.0868; train_gene_expr_recon_loss: 242614.3663; train_masked_gp_l1_reg_loss: 1834.0150; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 10032742.2222; train_global_loss: 10707366.3333; train_optim_loss: 10707366.3333; val_kl_reg_loss: 48573.7891; val_edge_recon_loss: 406542.7500; val_gene_expr_recon_loss: 237028.7188; val_masked_gp_l1_reg_loss: 1831.2916; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 10029534.0000; val_global_loss: 10723511.0000; val_optim_loss: 10723511.0000
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8688; val_auprc_score: 0.8734; val_best_acc_score: 0.5085; val_best_f1_score: 0.6705; train_kl_reg_loss: 51699.8611; train_edge_recon_loss: 384808.9826; train_gene_expr_recon_loss: 236702.7465; train_masked_gp_l1_reg_loss: 1819.1222; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 9980700.6667; train_global_loss: 10655731.3333; train_optim_loss: 10655731.3333; val_kl_reg_loss: 53852.7578; val_edge_recon_loss: 406523.3438; val_gene_expr_recon_loss: 230983.4062; val_masked_gp_l1_reg_loss: 1799.7781; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 9934306.0000; val_global_loss: 10627465.0000; val_optim_loss: 10627465.0000
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8861; val_auprc_score: 0.8832; val_best_acc_score: 0.5222; val_best_f1_score: 0.6765; train_kl_reg_loss: 56256.9470; train_edge_recon_loss: 382955.4097; train_gene_expr_recon_loss: 229576.6111; train_masked_gp_l1_reg_loss: 1779.1846; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 9880822.4444; train_global_loss: 10551390.6667; train_optim_loss: 10551390.6667; val_kl_reg_loss: 51264.4922; val_edge_recon_loss: 406380.5625; val_gene_expr_recon_loss: 226268.2031; val_masked_gp_l1_reg_loss: 1749.4147; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 9886346.0000; val_global_loss: 10572009.0000; val_optim_loss: 10572009.0000
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8701; val_auprc_score: 0.8614; val_best_acc_score: 0.5814; val_best_f1_score: 0.7030; train_kl_reg_loss: 57308.1337; train_edge_recon_loss: 382856.5938; train_gene_expr_recon_loss: 225455.3108; train_masked_gp_l1_reg_loss: 1727.2062; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 9866174.2222; train_global_loss: 10533521.4444; train_optim_loss: 10533521.4444; val_kl_reg_loss: 53679.4180; val_edge_recon_loss: 406078.5625; val_gene_expr_recon_loss: 222092.0781; val_masked_gp_l1_reg_loss: 1697.2476; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 9855867.0000; val_global_loss: 10539414.0000; val_optim_loss: 10539414.0000
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8523; val_auprc_score: 0.8442; val_best_acc_score: 0.6346; val_best_f1_score: 0.7273; train_kl_reg_loss: 58638.2556; train_edge_recon_loss: 383149.5625; train_gene_expr_recon_loss: 221882.4149; train_masked_gp_l1_reg_loss: 1675.3004; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 9768239.0000; train_global_loss: 10433584.5556; train_optim_loss: 10433584.5556; val_kl_reg_loss: 58925.5859; val_edge_recon_loss: 405700.9062; val_gene_expr_recon_loss: 218670.8750; val_masked_gp_l1_reg_loss: 1649.0366; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 9825428.0000; val_global_loss: 10510374.0000; val_optim_loss: 10510374.0000
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8395; val_auprc_score: 0.8363; val_best_acc_score: 0.6869; val_best_f1_score: 0.7524; train_kl_reg_loss: 59511.2886; train_edge_recon_loss: 382074.9306; train_gene_expr_recon_loss: 218647.7031; train_masked_gp_l1_reg_loss: 1632.6026; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 9784034.7778; train_global_loss: 10445901.3333; train_optim_loss: 10445901.3333; val_kl_reg_loss: 53268.0195; val_edge_recon_loss: 405107.0000; val_gene_expr_recon_loss: 216968.0938; val_masked_gp_l1_reg_loss: 1611.6949; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 9803262.0000; val_global_loss: 10480217.0000; val_optim_loss: 10480217.0000
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8256; val_auprc_score: 0.8221; val_best_acc_score: 0.7133; val_best_f1_score: 0.7600; train_kl_reg_loss: 58333.7253; train_edge_recon_loss: 381232.7396; train_gene_expr_recon_loss: 216539.9896; train_masked_gp_l1_reg_loss: 1599.5906; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 9734286.4444; train_global_loss: 10391992.4444; train_optim_loss: 10391992.4444; val_kl_reg_loss: 53459.2734; val_edge_recon_loss: 404304.1250; val_gene_expr_recon_loss: 215253.2969; val_masked_gp_l1_reg_loss: 1586.1936; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 9771434.0000; val_global_loss: 10446037.0000; val_optim_loss: 10446037.0000
