0_n,0_p,0_l,1_n,1_p,1_l,2_n,2_p,2_l,3_n,3_p,3_l,4_n,4_p,4_l,5_n,5_p,5_l,6_n,6_p,6_l,7_n,7_p,7_l,8_n,8_p,8_l,9_n,9_p,9_l,10_n,10_p,10_l,11_n,11_p,11_l,12_n,12_p,12_l,13_n,13_p,13_l,14_n,14_p,14_l,15_n,15_p,15_l,16_n,16_p,16_l,17_n,17_p,17_l,18_n,18_p,18_l,19_n,19_p,19_l
EPCAM,0.0,3.0118515,CXCL12,0.0,3.206985,FGL2,0.0,3.5280535,CAV1,0.0,3.9089327,IL7R,0.0,4.5393114,CEACAM6,0.0,3.764586,TRAC,0.0,2.6034348,SERPINA3,0.0,3.1927018,POSTN,0.0,3.2903676,CCDC80,0.0,2.4644797,CD8A,0.0,5.4505887,FOXA1,0.0,2.4613533,MYLK,0.0,4.4513702,TENT5C,0.0,4.3052373,FCER1G,0.0,2.6705668,MS4A1,0.0,6.9800544,KRT15,0.0,5.0270395,CEACAM6,0.0,3.0509558,CD8A,0.0,3.9589448,ADH1B,0.0,6.5879436
FASN,0.0,3.1055365,LUM,0.0,2.787847,FCER1G,0.0,3.0479476,PECAM1,0.0,3.789922,CD3E,0.0,3.9571097,GATA3,0.0,2.815764,CD3E,0.0,2.610403,CCND1,0.0,1.9954637,LUM,0.0,2.6012619,SFRP4,0.0,3.1524646,CCL5,0.0,4.5730433,EPCAM,0.0,2.3855298,KRT14,0.0,5.2187986,ITM2C,0.0,4.137473,CD68,0.0,2.7379184,BANK1,0.0,6.271711,SFRP1,0.0,3.8008711,GATA3,0.0,2.3094897,CCL5,0.0,3.2174113,LPL,0.0,5.918412
FOXA1,0.0,2.857487,MMP2,0.0,3.1169894,LYZ,0.0,3.2353396,CD93,0.0,4.2218843,TRAC,0.0,3.7690027,TACSTD2,0.0,2.9625828,IL7R,0.0,2.736824,KRT8,0.0,2.4569936,PDGFRB,0.0,2.8815513,LUM,0.0,2.2773533,CD3E,0.0,3.4644966,GATA3,0.0,2.1520028,DST,0.0,2.8676794,SLAMF7,0.0,5.1585584,APOC1,0.0,3.6994956,CXCR4,0.0,2.777837,TACSTD2,0.0,3.0584617,TACSTD2,0.0,2.2939668,CD3E,0.0,2.6383662,ADIPOQ,0.0,7.890346
KRT7,0.0,2.7566855,CCDC80,0.0,2.9345057,CD4,0.0,2.7926698,AQP1,0.0,4.2036524,CXCR4,0.0,3.1185563,SCD,0.0,2.5880902,PTPRC,0.0,2.0345285,TACSTD2,0.0,2.6911426,ACTA2,0.0,2.1048543,FBLN1,0.0,2.5025508,PTPRC,0.0,2.876139,CCND1,0.0,1.6949525,KRT5,0.0,5.1634035,MZB1,0.0,4.8662367,HAVCR2,0.0,2.802437,SELL,0.0,3.757299,KRT23,0.0,5.6328764,KRT14,0.0,2.796968,PTPRC,5.993935755276355e-227,2.0325072,PDK4,1.284956985280334e-292,2.9752102
SCD,0.0,2.6816854,PDGFRA,0.0,3.0844867,AIF1,0.0,2.9177494,VWF,0.0,4.830342,PTPRC,0.0,3.1741896,CD9,0.0,2.339905,CXCR4,0.0,1.853726,CEACAM6,0.0,2.7121394,RUNX1,0.0,1.8940631,SFRP1,0.0,2.4170558,TRAC,0.0,2.8235373,ANKRD30A,0.0,2.1260266,PTN,0.0,3.6274538,SEC11C,0.0,3.611445,ITGAX,0.0,2.860101,PTPRC,0.0,2.337524,KRT7,0.0,2.3831906,MYLK,0.0,2.2521048,TRAC,1.1459936723718679e-187,1.9544545,AKR1C1,1.5701483085048466e-282,4.5979543
ABCC11,0.0,3.2811556,FBLN1,0.0,3.1492615,CD163,0.0,3.5212255,CLEC14A,0.0,5.5728164,CYTIP,0.0,3.1084006,ANKRD30A,0.0,2.2877545,LUM,0.0,1.6726124,AGR3,0.0,3.6475728,CRISPLD2,0.0,2.4254522,IGF1,0.0,2.2152734,CXCR4,0.0,2.4609692,ERBB2,0.0,1.5942225,ACTA2,0.0,2.3634048,PRDM1,0.0,3.2726057,LYZ,0.0,1.7800381,SMAP2,0.0,2.0017095,DSC2,0.0,2.7897844,CD9,0.0,1.9671384,GZMA,2.451096205300123e-181,3.0053217,CAV1,2.7835904556141644e-268,3.1632762
MLPH,0.0,2.578269,POSTN,0.0,2.5896463,CD68,0.0,2.6701274,RAMP2,0.0,5.112968,GPR183,0.0,2.8248866,MLPH,0.0,2.436984,CCDC80,0.0,1.6048883,ERBB2,0.0,1.6495986,ZEB1,0.0,2.0915713,MMP2,0.0,1.8675836,GZMA,0.0,4.155055,KRT7,0.0,2.0604806,KRT6B,0.0,4.5881786,TPD52,0.0,2.0994654,IGSF6,4.377627565543815e-260,2.0815098,GPR183,0.0,2.1382532,KRT6B,0.0,3.981301,DST,0.0,1.7050194,CXCR4,2.173741753770203e-166,1.6446271,PPARG,1.9136149209566997e-249,3.6027775
KRT8,0.0,2.3304212,PDGFRB,0.0,2.4948568,PDK4,0.0,2.395658,KDR,0.0,4.8260493,CD4,0.0,2.2178745,TPD52,0.0,1.9850367,POSTN,0.0,1.5615119,DSP,0.0,2.2319517,SVIL,0.0,1.6654859,CXCL12,0.0,1.8420287,CD8B,0.0,4.461202,MLPH,0.0,2.0281727,SERPINA3,0.0,2.6604252,ERN1,0.0,3.0273259,CD4,1.042172151757376e-226,1.3618736,CD19,0.0,5.81923,PTN,0.0,3.464492,S100A14,0.0,1.9858571,CD3G,2.1749781941735993e-124,2.4555163,LEP,2.557360743650154e-193,6.8622775
SERHL2,0.0,2.966159,IGF1,0.0,2.729233,MRC1,0.0,3.7460234,MYLK,0.0,2.2592082,IL2RG,0.0,2.8024209,FASN,0.0,2.2452924,S100A4,0.0,1.4839376,CDH1,0.0,2.2420816,GJB2,0.0,4.1560535,POSTN,0.0,1.7845095,IL7R,0.0,2.5902774,KRT8,0.0,1.8863511,MYH11,0.0,4.137232,CD79A,0.0,4.916054,FCGR3A,6.375375164415426e-223,2.4727023,IL2RG,0.0,1.9764647,SERPINA3,0.0,2.157534,DSP,0.0,1.8552845,IL2RG,1.4496223546686046e-121,1.7684247,TIMP4,2.4163886729110777e-177,4.785482
ANKRD30A,0.0,2.2485032,CRISPLD2,0.0,2.34829,ZEB2,0.0,1.8764654,MMRN2,0.0,5.1172085,KLRB1,0.0,3.439893,KRT8,0.0,2.176703,KLRB1,0.0,2.4733605,FOXA1,0.0,2.125427,PDGFRA,0.0,1.6761793,PDGFRA,0.0,1.6663476,KLRD1,0.0,4.6768093,TCIM,0.0,1.9902388,KRT15,0.0,3.3221009,CCPG1,0.0,1.9505982,C1QC,7.391440445141161e-209,1.8214152,PTGDS,7.786229156932878e-301,1.934785,KRT14,0.0,2.7862,SERPINA3,0.0,2.1531677,KLRD1,2.4895175672129346e-111,3.2960727,IGF1,1.0804938776126584e-146,2.1092768
ERBB2,0.0,1.7288535,EGFR,0.0,2.4503322,CD14,0.0,3.1706114,TCF4,0.0,2.2191658,FAM107B,0.0,1.8688867,S100A14,0.0,2.19256,CYTIP,0.0,1.7088602,EPCAM,0.0,2.073087,LRRC15,0.0,3.03696,PTGDS,0.0,1.6908643,CYTIP,0.0,2.329985,FASN,0.0,1.8063862,SFRP1,0.0,2.6510913,PECAM1,0.0,2.2065496,AIF1,1.7475120340673708e-177,1.2777077,SPIB,2.4733469912897806e-274,4.501655,KRT5,0.0,3.163048,KRT8,0.0,1.8620332,S100A4,2.7649275679682605e-109,1.405875,LDHB,4.086684130332989e-136,1.7829973
