,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
178,CALCA_ligand_receptor_GP,1,1,2,2,['Calca'],"['Calcrl', 'Ramp3']",[0.803],"[-0.2332, 0.2254]",[0.6365],"[0.1848, 0.1787]"
172,WNT4_ligand_receptor_GP,1,1,1,1,['Wnt4'],['Smo'],[0.667],[0.0847],[0.8873],[0.1127]
1248,NRTN_ligand_targetgenes_GP,1,1,1,1,['Nrtn'],['Ccnd1'],[0.3079],[-0.0135],[0.958],[0.042]
631,HAPLN1_ligand_receptor_GP,1,1,1,1,['Hapln1'],['Treml2'],[0.9149],[0.0395],[0.9586],[0.0414]
102,PDGFD_ligand_receptor_GP,1,1,2,2,['Pdgfd'],"['Pdgfrb', 'Pdgfra']",[0.2643],"[1.001, 0.9661]",[0.1185],"[0.4486, 0.4329]"
1269,RTN4_ligand_targetgenes_GP,1,1,1,1,['Rtn4'],['Stat3'],[0.1694],[0.3633],[0.3179],[0.6821]
77,FGF3_ligand_receptor_GP,1,1,1,1,['Fgf3'],['Fgfrl1'],[0.7346],[-0.2538],[0.7432],[0.2568]
730,WFIKKN2_ligand_receptor_GP,1,1,1,1,['Wfikkn2'],['Igdcc3'],[-0.1946],[0.5925],[0.2473],[0.7527]
931,CD70_ligand_targetgenes_GP,1,1,2,2,['Cd70'],"['Ifng', 'Il2']",[0.5804],"[0.1409, -0.1334]",[0.679],"[0.1649, 0.1561]"
714,TPSB2_ligand_receptor_GP,1,1,1,1,['Tpsb2'],['F2rl1'],[0.0795],[1.2799],[0.0585],[0.9415]
125,FGF5_ligand_receptor_GP,1,1,1,1,['Fgf5'],['Fgfr4'],[0.6361],[-0.1408],[0.8188],[0.1812]
780,OSTN_ligand_receptor_GP,1,1,1,1,['Ostn'],['Npr3'],[-0.0098],[0.9357],[0.0104],[0.9896]
1398,FAT4_ligand_targetgenes_GP,1,1,0,0,['Fat4'],[],[0.7731],[],[1.0],[]
828,CD200R1_ligand_receptor_GP,1,1,1,1,['Cd200r1'],['Cd200'],[1.1425],[-0.6734],[0.6292],[0.3708]
66,PNOC_ligand_receptor_GP,1,1,1,1,['Pnoc'],['Oprl1'],[-0.1421],[0.6808],[0.1727],[0.8273]
566,HLA-DQA2_ligand_receptor_GP,0,0,1,1,[],['Lag3'],[],[0.4302],[],[1.0]
976,NRXN3_ligand_targetgenes_GP,1,1,0,0,['Nrxn3'],[],[0.1848],[],[1.0],[]
702,TFRC_ligand_receptor_GP,1,1,1,1,['Tfrc'],['Slc48a1'],[0.3463],[0.4607],[0.4291],[0.5709]
482,DRAXIN_ligand_receptor_GP,1,1,1,1,['Draxin'],['Wnt6'],[0.4676],[-0.3647],[0.5618],[0.4382]
133,CEACAM6_ligand_receptor_GP,0,0,1,1,[],['Stab1'],[],[1.2699],[],[1.0]
