,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
265,IL7_ligand_receptor_GP,1,1,2,2,['Il7'],"['Il2rg', 'Il7r']",[0.139],"[0.8557, -0.0097]",[0.1384],"[0.8519, 0.0096]"
85,NRG3_ligand_receptor_GP,1,1,2,2,['Nrg3'],"['Erbb2', 'Erbb4']",[0.3304],"[0.1232, 0.0197]",[0.698],"[0.2603, 0.0417]"
1330,WNT8A_ligand_targetgenes_GP,1,1,0,0,['Wnt8a'],[],[0.9034],[],[1.0],[]
1248,NRTN_ligand_targetgenes_GP,1,1,1,1,['Nrtn'],['Ccnd1'],[0.3079],[-0.0135],[0.958],[0.042]
657,COL20A1_ligand_receptor_GP,1,1,2,2,['Col20a1'],"['Itga11', 'Itgb1']",[0.4269],"[-0.1631, -0.0454]",[0.6719],"[0.2567, 0.0714]"
339,NTF4_ligand_receptor_GP,0,0,1,1,[],['Ntrk3'],[],[0.1443],[],[1.0]
380,APOA4_ligand_receptor_GP,1,1,1,1,['Apoa4'],['Lrp2'],[-0.0303],[0.3581],[0.078],[0.922]
1001,NEGR1_ligand_targetgenes_GP,1,1,0,0,['Negr1'],[],[0.3131],[],[1.0],[]
764,NLGN3_ligand_receptor_GP,1,1,1,1,['Nlgn3'],['Nrxn1'],[0.383],[0.1428],[0.7284],[0.2716]
739,COMPLEX:INHA_INHBA_ligand_receptor_GP,0,0,1,1,[],['Acvr2a'],[],[0.2652],[],[1.0]
391,DMP1_ligand_receptor_GP,1,1,2,2,['Dmp1'],"['Itgb3', 'Itgav']",[-0.0729],"[0.3279, 0.0437]",[0.164],"[0.7376, 0.0984]"
1230,JAG2_ligand_targetgenes_GP,1,1,0,0,['Jag2'],[],[0.628],[],[1.0],[]
336,LAMB2_ligand_receptor_GP,1,1,1,1,['Lamb2'],['Sv2c'],[0.3483],[0.2016],[0.6334],[0.3666]
98,FGF9_ligand_receptor_GP,1,1,1,1,['Fgf9'],['Fgfr4'],[0.6717],[0.2648],[0.7173],[0.2827]
182,CRH_ligand_receptor_GP,1,1,1,1,['Crh'],['Mc2r'],[0.0395],[0.3149],[0.1115],[0.8885]
198,TNFSF13_ligand_receptor_GP,1,1,1,1,['Tnfsf13'],['Tnfrsf13b'],[-0.0137],[0.476],[0.028],[0.972]
596,GPHA2_ligand_receptor_GP,1,1,1,1,['Gpha2'],['Epha6'],[0.2074],[-0.125],[0.6239],[0.3761]
500,CD5L_ligand_receptor_GP,1,1,1,1,['Cd5l'],['Cd5'],[0.2745],[0.1053],[0.7227],[0.2773]
69,NPY_ligand_receptor_GP,1,1,1,1,['Npy'],['Gpr83'],[0.2151],[0.3545],[0.3777],[0.6223]
679,IFNL1_ligand_receptor_GP,0,0,2,2,[],"['Ifnlr1', 'Il10rb']",[],"[0.6355, 0.0191]",[],"[0.9709, 0.0291]"
387,HLA-DQA1_ligand_receptor_GP,0,0,1,1,[],['Lag3'],[],[0.6803],[],[1.0]
135,FGF16_ligand_receptor_GP,1,1,1,1,['Fgf16'],['Fgfr4'],[0.747],[-0.531],[0.5845],[0.4155]
504,SEMA3C_ligand_receptor_GP,1,1,2,2,['Sema3c'],"['Nrp2', 'Nrp1']",[0.5121],"[-0.2334, -0.1985]",[0.5425],"[0.2473, 0.2102]"
566,HLA-DQA2_ligand_receptor_GP,0,0,1,1,[],['Lag3'],[],[0.4302],[],[1.0]
677,GC_ligand_receptor_GP,1,1,1,1,['Gc'],['Lrp2'],[0.0273],[0.7528],[0.035],[0.965]
976,NRXN3_ligand_targetgenes_GP,1,1,0,0,['Nrxn3'],[],[0.1848],[],[1.0],[]
359,ITGAL_ligand_receptor_GP,1,1,1,1,['Itgal'],['Cd226'],[0.2302],[0.1897],[0.5482],[0.4518]
334,LAMB3_ligand_receptor_GP,1,1,1,1,['Lamb3'],['Sv2c'],[0.935],[0.104],[0.8999],[0.1001]
706,CGB7_ligand_receptor_GP,0,0,1,1,[],['Lhcgr'],[],[0.4669],[],[1.0]
381,APOA2_ligand_receptor_GP,1,1,1,1,['Apoa2'],['Pon1'],[0.0152],[0.3662],[0.0397],[0.9603]
187,FSHB_ligand_receptor_GP,1,1,1,1,['Fshb'],['Gpr20'],[0.0099],[0.339],[0.0283],[0.9717]
155,FGFR4_ligand_receptor_GP,1,1,1,1,['Fgfr4'],['Siglec15'],[0.7348],[0.0322],[0.9581],[0.0419]
