,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
241,CKLF_ligand_receptor_GP,1,1,1,1,['Cklf'],['Ccr4'],[-0.0326],[0.3177],[0.093],[0.907]
1297,ICOSLG_ligand_targetgenes_GP,0,0,1,1,[],['Il10'],[],[0.4588],[],[1.0]
974,PVR_ligand_targetgenes_GP,1,1,0,0,['Pvr'],[],[0.6325],[],[1.0],[]
1180,FGF12_ligand_targetgenes_GP,1,1,0,0,['Fgf12'],[],[0.584],[],[1.0],[]
501,LRFN5_ligand_receptor_GP,1,1,1,1,['Lrfn5'],['Ptprd'],[-0.1069],[0.3726],[0.223],[0.777]
105,FGF18_ligand_receptor_GP,1,1,1,1,['Fgf18'],['Fgfr4'],[0.637],[-0.2804],[0.6944],[0.3056]
1062,EDN2_ligand_targetgenes_GP,1,1,1,1,['Edn2'],['Il6'],[0.1166],[0.26],[0.3096],[0.6904]
218,MFGE8_ligand_receptor_GP,1,1,1,1,['Mfge8'],['Itgav'],[0.5131],[0.2251],[0.6951],[0.3049]
122,CCN2_ligand_receptor_GP,0,0,1,1,[],['Tgfbr3'],[],[0.6332],[],[1.0]
589,APOD_ligand_receptor_GP,1,1,1,1,['Apod'],['Lepr'],[0.6999],[0.0078],[0.9889],[0.0111]
378,APOC2_ligand_receptor_GP,1,1,1,1,['Apoc2'],['Lrp2'],[-0.0701],[0.2584],[0.2134],[0.7866]
265,IL7_ligand_receptor_GP,1,1,2,2,['Il7'],"['Il2rg', 'Il7r']",[0.139],"[0.8557, -0.0097]",[0.1384],"[0.8519, 0.0096]"
686,SNX14_ligand_receptor_GP,1,1,1,1,['Snx14'],['Htr6'],[0.1417],[0.164],[0.4636],[0.5364]
333,LAMC3_ligand_receptor_GP,1,1,1,1,['Lamc3'],['Sv2c'],[0.5376],[0.062],[0.8966],[0.1034]
125,FGF5_ligand_receptor_GP,1,1,1,1,['Fgf5'],['Fgfr4'],[0.6361],[-0.1408],[0.8188],[0.1812]
279,SPON1_ligand_receptor_GP,1,1,1,1,['Spon1'],['Lrp8'],[0.8275],[0.1844],[0.8177],[0.1823]
623,KMT2E_ligand_receptor_GP,1,1,1,1,['Kmt2e'],['Rara'],[0.0884],[0.3942],[0.1832],[0.8168]
